Model,RMSE,MAPE (%),R2,Adjusted_R2,AIC,BIC,Num_Params,Pearson_r,p_value
LASSO,0.02585236296068252,3.1868586428306034,0.292157542479915,,-38.48565234774566,-37.691236930947305,10,0.637869554401642,0.08881351693163411
ElasticNet,0.026427144384833675,2.9431036936366235,0.26033240196171403,,-38.133817610664195,-37.33940219386584,10,0.5181514842239898,0.18835219903396036
Ridge,0.02766273682076029,3.3897279758777565,0.18954965905620336,,-37.40270420105247,-36.608288784254114,10,0.6222124734647003,0.09948993586145594
ARD,0.033775683580102786,3.724684530757501,-0.20821553133525583,,-34.208226497719075,-33.413811080920716,10,0.7096463764672196,0.04864336816886235
BayesianRidge,0.08768846273890005,10.131905983355791,-7.143686234267257,,-18.943439071620908,-18.14902365482255,10,0.39899595951180555,0.32748961510980906
OLS,0.09295551771702967,10.687053074737998,-8.15137743270119,,-18.010147269931906,-17.215731853133548,10,0.3869376874797431,0.3436549553393661
